Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000.0,-0.3181528713619558,0.9989607491940089,-0.6100116307672777,0,PutinCoin
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.3418990878564672,0.9996394588273899,-0.6095974751655934,0,iBankCoin
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.3403381668168568,0.9996485800267572,-0.6096332259667778,0,Frankywillcoin
MUDRA,X13,PoS,5000000.0,200000000.0,-0.2384981657039283,1.5624579791165274,-0.29794708065303904,0,MudraCoin
PIZZA,X11,PoW,1377917.0,25000000.0,-0.22012799892927334,-0.8980162645520495,0.10386541198538235,3,PizzaCoin
LC,X11,PoS,657000000.0,657000000.0,-0.3349591084740606,1.0291554434089585,-0.1702711894020741,0,Lutetium Coin
KMD,Equihash,dPoW/PoW,115898131.0,200000000.0,-0.2015932083434159,-1.1386149055753196,0.36830103114258816,3,Komodo
GB,X11,PoW/PoS,15563873.0,50000000.0,-0.3918132083179178,1.2300252829192808,-0.46067860904834895,0,GoldBlocks
CTC,Scrypt,PoW/PoS,43165500.0,90000000.0,-0.3411032636494226,0.9996313655560312,-0.6096136802345615,0,CarterCoin
KRB,CryptoNight,PoW,7822432.72439746,10000000.0,0.31235097303825193,-2.31725466031216,0.43441505070975867,3,Karbo
BXT,SHA-256,PoW/PoS,595429.0,21000000.0,-0.3131028041821662,0.8096146469562593,-0.358665292583637,0,BitTokens
ZYD,SHA-256,PoW,6243840.0,9736000.0,-0.14107791751772947,-1.3184261115765767,0.2058711383774793,3,ZayedCoin
MST,X11,PoW/PoS,657636.34549789,3000000.0,-0.39232861672653385,1.2300433705575429,-0.4606701524551088,0,MustangCoin
ZNE,Scrypt,PoW/PoS,2581970.0,21000000.0,-0.3420883263406432,0.9996505799682033,-0.6095950811366141,0,ZoneCoin
COVAL,Multiple,PoW,1000000000.0,1200000000.0,-0.10731807975231936,-1.8371502387724454,0.36366322622099084,3,Circuits of Value
ROOT,Scrypt,PoW/PoS,1939889.0,0.0,-0.3422451099311722,0.9996610238253197,-0.6095932928748012,0,RootCoin
DOPE,Scrypt,PoW,116845228.0,200000000.0,-0.16738738969799702,-1.128444453523379,-0.045108847514139246,3,DopeCoin
BTCR,Scrypt,PoS,169598616.0,0.0,-0.29548280423603285,0.7989143867413522,-0.31898364230253784,0,BitCurrency
DLC,SHA-256,PoW,9106714.0,10638298.0,-0.14103655108894936,-1.3184254474533919,0.20587012390679257,3,DollarCoin
SCN,Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.265118070427314,0.3513744792134703,-0.5468108938614437,0,Swiscoin
SH,Scrypt,PoW,11119200.0,30000000.0,-0.16988443462874533,-1.1283993657040299,-0.045061126206035876,3,Shilling
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.03294873080225735,1.9006349828874314,-0.6865089017261091,0,BuzzCoin
XPO,PoS,PoS,74033806.7949683,74000000.0,-0.3671847658300268,1.5679804796201338,-0.07513266224501344,0,Opair
PSB,Scrypt,PoW/PoS,33522957.0,0.0,-0.3418593566503697,0.9996734202927967,-0.6096037374637149,0,PesoBit
HALLO,X11,PoW/PoS,264678458.288619,1500000000.0,-0.378486501613113,1.2293845365015024,-0.46086980559700064,0,Halloween Coin
XZC,Lyra2Z,PoW,7568281.24956067,21400000.0,-0.16382653062271726,-2.14760471554083,0.4125309986391581,3,ZCoin
CFC,PoS,PoS,148716816.0,39999898.0,-0.3665137367382048,1.568027110153997,-0.07515480857368599,0,CoffeeCoin
ROYAL,X13,PoS,2500124.0,2500124.0,-0.23992945521685474,1.562557590012211,-0.2979314327557133,0,RoyalCoin
GNJ,X14,PoW/PoS,100000000.0,100000000.0,-0.43597509187341565,1.8998698575450477,-0.7304290319452298,0,GanjaCoin V2
TEAM,PoS,PoS,17818682.1654,301000000.0,-0.3662613891492669,1.5678427976534992,-0.07513110677224646,0,TeamUP
LANA,SHA-256D,PoW/PoS,1082162635.53683,7506000000.0,-0.2815684319192545,1.8997389208985553,-0.679454758773191,0,LanaCoin
ELE,Ethash,PoW,26205539.0,26205539.0,-0.15350185032932248,-1.9962668503688241,0.3992708860375312,3,Elementrem
